product_slug,eu_size,gender,color,color_family,price,stock_quantity,sku
terrex-anylander-impermeable,39,man,NA,NA,84.99,15,ADID-TERREX-ANYLAND-NA-M39-54BE8
terrex-anylander-impermeable,40,man,NA,NA,84.99,9,ADID-TERREX-ANYLAND-NA-M40-209BC
terrex-anylander-impermeable,41,man,NA,NA,84.99,7,ADID-TERREX-ANYLAND-NA-M41-CB23F
terrex-anylander-impermeable,42,man,NA,NA,84.99,15,ADID-TERREX-ANYLAND-NA-M42-B8181
terrex-anylander-impermeable,43,man,NA,NA,84.99,15,ADID-TERREX-ANYLAND-NA-M43-40633
terrex-anylander-impermeable,44,man,NA,NA,84.99,14,ADID-TERREX-ANYLAND-NA-M44-C9F11
terrex-anylander-impermeable,45,man,NA,NA,84.99,11,ADID-TERREX-ANYLAND-NA-M45-F04FD
terrex-anylander-impermeable,46,man,NA,NA,84.99,7,ADID-TERREX-ANYLAND-NA-M46-721BB
terrex-anylander-impermeable,47,man,NA,NA,84.99,15,ADID-TERREX-ANYLAND-NA-M47-9AB5B
terrex-anylander-impermeable,48,man,NA,NA,84.99,8,ADID-TERREX-ANYLAND-NA-M48-DF494
terrex-anylander-impermeable,36,woman,NA,NA,84.99,13,ADID-TERREX-ANYLAND-NA-W36-D9608
terrex-anylander-impermeable,37,woman,NA,NA,84.99,6,ADID-TERREX-ANYLAND-NA-W37-49339
terrex-anylander-impermeable,38,woman,NA,NA,84.99,8,ADID-TERREX-ANYLAND-NA-W38-94B48
terrex-anylander-impermeable,39,woman,NA,NA,84.99,14,ADID-TERREX-ANYLAND-NA-W39-2495C
terrex-anylander-impermeable,40,woman,NA,NA,84.99,8,ADID-TERREX-ANYLAND-NA-W40-B203A
terrex-anylander-impermeable,41,woman,NA,NA,84.99,15,ADID-TERREX-ANYLAND-NA-W41-BFF3B
baksets-homme-klnj-be-d,39,man,grise,gris,18.99,11,DECA-BAKSETS-HOMME--GRY-M39-1B6A8
baksets-homme-klnj-be-d,40,man,grise,gris,18.99,5,DECA-BAKSETS-HOMME--GRY-M40-CD128
baksets-homme-klnj-be-d,41,man,grise,gris,18.99,10,DECA-BAKSETS-HOMME--GRY-M41-F82F5
baksets-homme-klnj-be-d,42,man,grise,gris,18.99,14,DECA-BAKSETS-HOMME--GRY-M42-D98C7
baksets-homme-klnj-be-d,43,man,grise,gris,18.99,14,DECA-BAKSETS-HOMME--GRY-M43-7CB34
